Hostname;ServerFunction;IPServer;ServerStatus;SiteCode;OSName;aip_app_name;csc_status;ge_status_code;ge_status_label;ge_test_label
abp-vpdm;Application;10.99.142.16;Active;BJS2;HP-UX;;null;00;Not deployed by CSC;null
ban-arhiva;Application;10.218.119.19;Active;KAR1;AIX;Baan - Karlovac - HR;done;10;Deployed by CSC but GE test KO;"netstat Ko : ksh: sudo:  not found. |; lsof Ko : ksh: sudo:  not found. |; crontab Ok"
bell;Application;10.255.247.66;Active;GUC1;AIX;Alt@is (GRID Global ERP);done;11;Deployed by CSC and GE test OK;null
bresil;Application;10.23.144.48;Active;REI1;SunOS;FAO;null;00;Not deployed by CSC;null
copernic;Application;10.255.150.202;Active;CCH1;AIX;Alt@is (GRID Global ERP);done;11;Deployed by CSC and GE test OK;null
cortes;Application;10.255.250.189;Active;GUC1;AIX;Infra FAST (File Transfer - Connect Direct);done;20;Deployed by CSC but not testable (behind FW);null
erp-v47-s2;Application;10.128.72.174;Active;BAD1;AIX;SAP CH;done;11;Deployed by CSC and GE test OK;null
gec10;Application;10.23.4.133;Active;OUS1;SunOS;;null;00;Not deployed by CSC;null
lic104;Application;10.238.146.104;Active;BAD1;linux;HPC - BIG-Cluster;null;00;Not deployed by CSC;null
lic113;Application;10.238.146.113;Active;BAD1;linux;HPC - BIG-Cluster;null;00;Not deployed by CSC;null
lic122;Application;10.238.146.122;Active;BAD1;linux;HPC - BIG-Cluster;null;00;Not deployed by CSC;null
lic131;Application;10.238.146.131;Active;BAD1;linux;HPC - BIG-Cluster;null;00;Not deployed by CSC;null
lic140;Application;10.238.146.140;Active;BAD1;linux;HPC - BIG-Cluster;null;00;Not deployed by CSC;null
sabad10011;Application;10.238.14.30;Active;BAD1;linux;ALSTOM Pensions Internet;done;12;Deployed by CSC and GE test OK;null
sabad10467;Application;10.238.15.51;Active;BAD1;linux;Alista||ALISTA Tarbes, Charleroi, Nola;done;20;Deployed by CSC but not testable (behind FW);null
sabad10575;Application;10.238.15.101;Active;BAD1;linux;Ulysse;done;20;Deployed by CSC but not testable (behind FW);null
sabad10638;Application;10.238.15.138;Active;BAD1;linux;Hydro Costing Tool (HCT);done;20;Deployed by CSC but not testable (behind FW);null
sabad10773;Application;10.238.127.69;Active;BAD1;linux;Plant Explorer;done;12;Deployed by CSC and GE test OK;null
sabad10782;Application;10.238.15.56;Active;BAD1;linux;GridFusion;done;20;Deployed by CSC but not testable (behind FW);null
sabad10935;Application;10.238.127.166;Active;BAD1;linux;STITS (Steam Turbine Integrated Tools Suite);done;12;Deployed by CSC and GE test OK;null
sabad10953;Application;10.238.206.153;Active;BAD1;linux;PMS;done;12;Deployed by CSC and GE test OK;null
sabad10962;Application;10.238.206.149;Active;RMA1;linux;PMS;done;12;Deployed by CSC and GE test OK;null
sabad11010;Application;10.238.196.125;Active;BAD1;linux;ANSYS Global License Control PW;done;12;Deployed by CSC and GE test OK;null
sabad11178;Application;10.238.40.78;Active;BAD1;linux;SICOS||TeamTrack;done;12;Deployed by CSC and GE test OK;null
sabad11259;Application;10.238.197.83;Active;BAD1;linux;New PLM||New PLM;done;20;Deployed by CSC but not testable (behind FW);null
sabad11376;Application;10.238.219.125;Active;BAD1;linux;APC VPDM;done;12;Deployed by CSC and GE test OK;null
sabad11385;Application;10.238.41.46;Active;BAD1;linux;SICOS||TeamTrack;done;20;Deployed by CSC but not testable (behind FW);null
sabad11394;Application;10.238.196.158;Active;RMA1;linux;APC VPDM;done;12;Deployed by CSC and GE test OK;null
sabad11448;Application;10.238.206.48;Active;RMA1;linux;APC VPDM;done;12;Deployed by CSC and GE test OK;null
sabad11484;Application;10.238.198.35;Active;RMA1;linux;New PLM;done;20;Deployed by CSC but not testable (behind FW);null
sabad11493;Application;10.238.198.39;Active;BAD1;linux;New PLM;null;00;Not deployed by CSC;null
sabad15165;Application;10.236.4.165;Active;RMA1;AIX;New PLM||DELMIA V6||Aralia SIMTREE;done;20;Deployed by CSC but not testable (behind FW);null
sabad16146;Application;10.236.4.146;Active;RMA1;AIX;Powermax;done;21;Deployed by CSC and GE test on going;null
sabad18108;Application;10.238.168.18;Active;BAD1;linux;HPC - TGN Green ex TARRA;null;00;Not deployed by CSC;null
sabad18117;Application;10.238.168.27;Active;BAD1;linux;HPC - TGN Green ex TARRA;null;00;Not deployed by CSC;null
sabad18126;Application;10.238.168.36;Active;BAD1;linux;HPC - TGN Green ex TARRA;null;00;Not deployed by CSC;null
sabad18135;Application;10.238.168.45;Active;BAD1;linux;HPC - TGN Green ex TARRA;null;00;Not deployed by CSC;null
sabad18144;Application;10.238.168.54;Active;BAD1;linux;HPC - TGN Green ex TARRA;null;00;Not deployed by CSC;null
sabad18153;Application;10.238.168.63;Active;BAD1;linux;HPC - TGN Green ex TARRA;null;00;Not deployed by CSC;null
sabad18207;Application;10.238.164.17;Active;BAD1;linux;HPC - TGN Green;done;12;Deployed by CSC and GE test OK;null
sabad18216;Application;10.238.164.26;Active;BAD1;linux;HPC - TGN Green;done;12;Deployed by CSC and GE test OK;null
sabad18225;Application;10.238.164.35;Active;BAD1;linux;HPC - TGN Green;done;12;Deployed by CSC and GE test OK;null
sabad18234;Application;10.238.164.44;Active;BAD1;linux;HPC - TGN Green;done;12;Deployed by CSC and GE test OK;null
sabad18243;Application;10.238.164.53;Active;BAD1;linux;HPC - TGN Green Extension;done;12;Deployed by CSC and GE test OK;null
sabad18252;Application;10.238.164.62;Active;BAD1;linux;HPC - TGN Green Extension;done;12;Deployed by CSC and GE test OK;null
sabad18306;Application;10.238.168.206;Active;BAD1;linux;HPC - TGN Green ex TARRA;null;00;Not deployed by CSC;null
sabad18405;Application;10.238.199.21;Active;BAD1;linux;HPC - Plant-HPC new;done;12;Deployed by CSC and GE test OK;null
sabad18414;Application;10.238.199.30;Active;BAD1;linux;HPC - Plant-HPC new;done;12;Deployed by CSC and GE test OK;null
sabad18423;Application;10.238.199.39;Active;BAD1;linux;HPC - Plant-HPC new;done;12;Deployed by CSC and GE test OK;null
sabad18432;Application;10.238.199.48;Active;BAD1;linux;HPC - Plant-HPC new;done;12;Deployed by CSC and GE test OK;null
sabad18441;Application;10.238.199.57;Active;BAD1;linux;HPC - Plant-HPC new;done;12;Deployed by CSC and GE test OK;null
sabad19017;Application;10.238.21.84;Active;BAD1;AIX;BI4 Platform (Power)||Power max (PMX) datawarehouse (BW);done;10;Deployed by CSC but GE test KO;"netstat Ok; lsof Ko : no lsof found |; crontab Ok"
